run_id,stream_id,simulation_tag,sweep_tag,profile,scope,config_id,config_key,bootstrap_group_key,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,bootstrap_seed,null_seed,lambda_qut,map_estimator,map_status,similarity_method,profile_support_sectors,off_profile_sectors,recovered_background_level,light_leakage_exponent,moderate_leakage_exponent,whole_grid_cosine,support_cosine,outside_energy_fraction,lightly_penalized_whole_grid_cosine,moderately_penalized_whole_grid_cosine,recovered_support_energy,recovered_outside_energy,recovered_dynamic_range,error
high_y_side__quarter_1__b050_p02500_s250,high_y_side__quarter_1__p02500_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_1,1,b050_p02500_s250,p02500_s250,selected_ranked_validation,50,2500,250,3759287628,1549208640,32.752961522401414,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.06405294314026833,0.5,1.0,0.9435861925250394,0.9894800080922392,0.09061223558355389,0.8998210124937683,0.8580857381545719,1.9657115492872352,0.19586531176568625,0.2534942962229252,
high_y_side__quarter_1__b100_p02500_s250,high_y_side__quarter_1__p02500_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_1,4,b100_p02500_s250,p02500_s250,selected_ranked_validation,100,2500,250,3759287628,1549208640,32.752961522401414,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.06448113173246384,0.5,1.0,0.942296525358522,0.9886461017888084,0.09156582719999752,0.8981199036704632,0.8560143645463856,1.9530123565016209,0.19685432066441838,0.2541438862681389,
high_y_side__quarter_2__b500_p01000_s100,high_y_side__quarter_2__p01000_s100,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_2,0,b500_p01000_s100,p01000_s100,selected_ranked_validation,500,1000,100,2774607307,2026435672,14.594109962110648,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.027622366324067116,0.5,1.0,0.9118141854668746,0.9593238738690557,0.09659563671838299,0.8666573734535286,0.8237369136528481,1.2310930725940246,0.1316334346392127,0.2586524225771427,
high_y_side__quarter_2__b100_p01000_s200,high_y_side__quarter_2__p01000_s200,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_2,3,b100_p01000_s200,p01000_s200,selected_ranked_validation,100,1000,200,2801856142,279321663,18.485547155161388,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.02300334069877863,0.5,1.0,0.9198583506822746,0.9657525934010819,0.09278516239466535,0.8761450821892935,0.8345091442341307,0.9060313651129073,0.09266412305222102,0.21636789105832577,
high_y_side__quarter_2__b050_p01000_s250,high_y_side__quarter_2__p01000_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_2,2,b050_p01000_s250,p01000_s250,selected_ranked_validation,50,1000,250,755582009,1090568348,16.59355323947177,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.028173409402370453,0.5,1.0,0.9230401563966445,0.9741242546564449,0.10213203533164049,0.874634961862465,0.8287681865310195,1.032227134728062,0.11741532423786177,0.22665350139141083,
high_y_side__quarter_2__b100_p01000_s250,high_y_side__quarter_2__p01000_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_2,5,b100_p01000_s250,p01000_s250,selected_ranked_validation,100,1000,250,755582009,1090568348,16.59355323947177,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.026734997518360615,0.5,1.0,0.9193856611897585,0.9727959694400613,0.10679339212255802,0.868907788020405,0.8212013477624633,0.9953607934625944,0.11900713069316725,0.226131621748209,
high_y_side__quarter_2__b050_p02500_s250,high_y_side__quarter_2__p02500_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_2,1,b050_p02500_s250,p02500_s250,selected_ranked_validation,50,2500,250,1961067986,1156654427,25.43178752427868,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.04171409457921982,0.5,1.0,0.8824767618405843,0.9608520785570377,0.1564836829377199,0.8104944065460692,0.7443835480408166,1.5134875714090947,0.2807724100458319,0.27814602106809616,
high_y_side__quarter_2__b100_p02500_s250,high_y_side__quarter_2__p02500_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_2,4,b100_p02500_s250,p02500_s250,selected_ranked_validation,100,2500,250,1961067986,1156654427,25.43178752427868,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.04171409457921982,0.5,1.0,0.8834915558848859,0.9622939642357823,0.15707432484860315,0.811142289497561,0.7447177162348255,1.5068790199258415,0.2807981909447288,0.2760245017707348,
high_y_side__quarter_3__b500_p01000_s100,high_y_side__quarter_3__p01000_s100,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_3,0,b500_p01000_s100,p01000_s100,selected_ranked_validation,500,1000,100,3547676325,263954713,13.74146433854031,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.08468188345432281,0.5,1.0,0.9844505929770812,0.9953850327624826,0.021849598445543548,0.9736362694979181,0.9629407428310547,3.507715705804661,0.07835418715890731,0.3389057628810406,
high_y_side__quarter_3__b100_p01000_s200,high_y_side__quarter_3__p01000_s200,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_3,3,b100_p01000_s200,p01000_s200,selected_ranked_validation,100,1000,200,4069831766,2189025611,19.140409917298687,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.07121370360255241,0.5,1.0,0.9918783964838246,0.9986938139288162,0.013602091085363643,0.9851094897053673,0.9783867761892472,2.6178185690403986,0.03609882614230617,0.2827233634889126,
high_y_side__quarter_3__b050_p01000_s250,high_y_side__quarter_3__p01000_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_3,2,b050_p01000_s250,p01000_s250,selected_ranked_validation,50,1000,250,508326812,2037912379,17.810597061494093,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.07639063522219658,0.5,1.0,0.9902821905315652,0.9987545114875489,0.01689381322696227,0.9818817393108923,0.9735525481627378,2.7685815519015575,0.04757563350807814,0.290762972086668,
high_y_side__quarter_3__b100_p01000_s250,high_y_side__quarter_3__p01000_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_3,5,b100_p01000_s250,p01000_s250,selected_ranked_validation,100,1000,250,508326812,2037912379,17.810597061494093,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.07639510929584503,0.5,1.0,0.9904094637689344,0.9986341790250574,0.016404097112504363,0.9822524869724645,0.9741626907441254,2.8502850969180464,0.04753614100151002,0.29538458958268166,
high_y_side__quarter_3__b050_p02500_s250,high_y_side__quarter_3__p02500_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_3,1,b050_p02500_s250,p02500_s250,selected_ranked_validation,50,2500,250,3975477869,3399767438,25.924883421096546,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.1046738475561142,0.5,1.0,0.9728904356287286,0.9946922659797358,0.043355926287003306,0.9515664614176661,0.9307098696162789,4.312069516332503,0.19542667250205964,0.3749410787597299,
high_y_side__quarter_3__b100_p02500_s250,high_y_side__quarter_3__p02500_s250,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_3,4,b100_p02500_s250,p02500_s250,selected_ranked_validation,100,2500,250,3975477869,3399767438,25.924883421096546,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.1045866310596466,0.5,1.0,0.9722714014654643,0.9944154540664181,0.044040940982676836,0.9506204617416171,0.9294516540543792,4.337614017775566,0.19983345642318323,0.3757944108918309,
high_y_side__quarter_4__b500_p01000_s100,high_y_side__quarter_4__p01000_s100,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,high_y_side,quarter_4,0,b500_p01000_s100,p01000_s100,selected_ranked_validation,500,1000,100,4207142198,3131187337,14.83961620793078,nested_prefix_median_v1,ok,whole_grid_cosine_dual_leakage_penalty_v2,35,165,-0.06510289385914803,0.5,1.0,0.9802569377959169,0.9998613625161293,0.038829845953543024,0.9610368998347283,0.9421937119064097,2.2668974030312787,0.09157928654111828,0.25586073882877824,
