profile,scope,simulation_tag,seed,n_bootstraps,possessions_per_bootstrap,samples_per_possession,status,elapsed_seconds,lambda_qut,lambda_max_obs,lambda_ci_low,lambda_ci_high,p_value,reject_qut,error
reference,full_game,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,42,50,2500,250,ok,54.826398600000175,24.53672143138244,156.435864483566,129.78250065184892,162.4584242394551,0.0,True,
high_y_side,full_game,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,43,50,2500,250,ok,54.7399633999994,28.707658581637787,227.16543618724947,205.63983830662727,245.40806416123405,0.0,True,
low_y_side,full_game,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,44,50,2500,250,ok,54.834172599999874,25.379459242807428,193.82117861376383,194.24842590707567,222.0604405914531,0.0,True,
perimeter,full_game,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,45,50,2500,250,ok,55.02448089999962,26.035670702012677,100.3988205510676,83.07997983528104,117.07927824999085,0.0,True,
