run_id,stream_id,profile,scope,config_id,config_key,bootstrap_group_key,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,is_baseline,is_individual_profile_like,bootstrap_seed,null_seed,simulation_tag,sweep_tag,sweep_design_version,seed_policy_version,map_estimator,source_possessions,status,elapsed_seconds,lambda_qut,lambda_max_obs,lambda_ci_low,lambda_ci_high,lambda_ci_width,lambda_bootstrap_mean,lambda_bootstrap_std,bootstrap_draws_requested,bootstrap_draws_successful,p_value,reject_qut,error
reference__quarter_4__b050_p00100_s050,reference__quarter_4__p00100_s050,reference,quarter_4,15,b050_p00100_s050,p00100_s050,full_factorial_nested_prefix,50,100,50,False,False,3771175008,2249015874,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,27.15722659999119,4.027439214361076,4.774153109961996,3.3820766516389456,8.476422383741664,5.094345732102719,5.600742275401894,1.3328126540295198,50,50,0.02,True,
reference__quarter_4__b100_p00100_s050,reference__quarter_4__p00100_s050,reference,quarter_4,30,b100_p00100_s050,p00100_s050,full_factorial_nested_prefix,100,100,50,False,False,3771175008,2249015874,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,48.911650999987614,4.027439214361076,4.774153109961996,3.4804183603803454,8.048710954362429,4.568292593982084,5.701996198860955,1.234812123169851,100,100,0.02,True,
reference__full_game__b010_p00100_s100,reference__full_game__p00100_s100,reference,full_game,1,b010_p00100_s100,p00100_s100,full_factorial_nested_prefix,10,100,100,False,False,3943612369,2418810534,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,920,ok,10.173994599997968,4.17857986158145,6.365409728730772,4.853210855662948,6.309048110284225,1.4558372546212768,5.460985996712108,0.6029423906917568,10,10,0.0,True,
reference__full_game__b050_p00100_s100,reference__full_game__p00100_s100,reference,full_game,16,b050_p00100_s100,p00100_s100,full_factorial_nested_prefix,50,100,100,False,False,3943612369,2418810534,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,920,ok,26.740201599996,4.17857986158145,6.365409728730772,4.093581309822028,7.514407633589124,3.420826323767096,5.6473836480141095,0.9280133632272088,50,50,0.0,True,
reference__full_game__b100_p00100_s100,reference__full_game__p00100_s100,reference,full_game,31,b100_p00100_s100,p00100_s100,full_factorial_nested_prefix,100,100,100,False,False,3943612369,2418810534,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,920,ok,52.45739589999903,4.17857986158145,6.365409728730772,3.972101162074952,9.32706922931444,5.354968067239487,5.870278820091675,1.2952863786874511,100,100,0.0,True,
reference__quarter_1__b010_p00100_s100,reference__quarter_1__p00100_s100,reference,quarter_1,1,b010_p00100_s100,p00100_s100,full_factorial_nested_prefix,10,100,100,False,False,462622817,1951850775,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,14.365999600000578,4.239523026565586,6.200314553515197,4.7193368260334765,7.739526128609991,3.0201893025765143,6.071864448037429,1.1076396439514105,10,10,0.0,True,
reference__quarter_1__b050_p00100_s100,reference__quarter_1__p00100_s100,reference,quarter_1,16,b050_p00100_s100,p00100_s100,full_factorial_nested_prefix,50,100,100,False,False,462622817,1951850775,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,29.241899799999373,4.239523026565586,6.200314553515197,4.096187505819252,8.252697793189919,4.156510287370667,6.209949539462773,1.150905122606181,50,50,0.0,True,
reference__quarter_1__b100_p00100_s100,reference__quarter_1__p00100_s100,reference,quarter_1,31,b100_p00100_s100,p00100_s100,full_factorial_nested_prefix,100,100,100,False,False,462622817,1951850775,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,49.29197090000344,4.239523026565586,6.200314553515197,4.171757000053257,8.624863123438617,4.45310612338536,6.276933910835474,1.2105843375209695,100,100,0.0,True,
reference__quarter_2__b010_p00100_s100,reference__quarter_2__p00100_s100,reference,quarter_2,1,b010_p00100_s100,p00100_s100,full_factorial_nested_prefix,10,100,100,False,False,2992400680,3598067053,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,12.042139899996982,4.361637593046727,5.111163014668661,3.3861659617861783,6.74687960015402,3.3607136383678413,5.062142866539072,1.200060608729689,10,10,0.02,True,
reference__quarter_2__b050_p00100_s100,reference__quarter_2__p00100_s100,reference,quarter_2,16,b050_p00100_s100,p00100_s100,full_factorial_nested_prefix,50,100,100,False,False,2992400680,3598067053,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,27.827680699992925,4.361637593046727,5.111163014668661,3.3861659617861783,8.560831248672438,5.17466528688626,5.396052364263617,1.3164709769386234,50,50,0.02,True,
reference__quarter_2__b100_p00100_s100,reference__quarter_2__p00100_s100,reference,quarter_2,31,b100_p00100_s100,p00100_s100,full_factorial_nested_prefix,100,100,100,False,False,2992400680,3598067053,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,47.4646618999941,4.361637593046727,5.111163014668661,3.200035461850188,7.674714748854312,4.474679287004124,5.369603983584279,1.2597436206336248,100,100,0.02,True,
reference__quarter_3__b010_p00100_s100,reference__quarter_3__p00100_s100,reference,quarter_3,1,b010_p00100_s100,p00100_s100,full_factorial_nested_prefix,10,100,100,False,False,200650097,3580914800,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,12.15213279999989,4.279634567731408,5.904111585078537,4.004290487977275,7.972534373344009,3.968243885366734,6.058080893895588,1.2819513863956031,10,10,0.0,True,
reference__quarter_3__b050_p00100_s100,reference__quarter_3__p00100_s100,reference,quarter_3,16,b050_p00100_s100,p00100_s100,full_factorial_nested_prefix,50,100,100,False,False,200650097,3580914800,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,28.66906409999865,4.279634567731408,5.904111585078537,3.0506365660631545,8.194645726453292,5.144009160390137,5.631433860418622,1.417318853075579,50,50,0.0,True,
reference__quarter_3__b100_p00100_s100,reference__quarter_3__p00100_s100,reference,quarter_3,31,b100_p00100_s100,p00100_s100,full_factorial_nested_prefix,100,100,100,False,False,200650097,3580914800,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,48.4821639999991,4.279634567731408,5.904111585078537,2.628865173344841,8.07576960899094,5.4469044356461,5.307974630646486,1.438563490327185,100,100,0.0,True,
reference__quarter_4__b010_p00100_s100,reference__quarter_4__p00100_s100,reference,quarter_4,1,b010_p00100_s100,p00100_s100,full_factorial_nested_prefix,10,100,100,False,False,2016640081,3566718444,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,28.660419099996943,4.4300165639616615,5.368306613448461,3.8730907681052615,7.783032685841766,3.909941917736505,5.985402547035507,1.2435498069537012,10,10,0.0,True,
reference__quarter_4__b050_p00100_s100,reference__quarter_4__p00100_s100,reference,quarter_4,16,b050_p00100_s100,p00100_s100,full_factorial_nested_prefix,50,100,100,False,False,2016640081,3566718444,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,230,ok,44.89656309999555,4.4300165639616615,5.368306613448461,4.080549170587746,9.825827381760728,5.745278211172982,6.5271000524408,1.5536383236678075,50,50,0.0,True,
