performance_rank,ranking_method,config_key,n_bootstraps,possessions_per_bootstrap,samples_per_possession,n_profile_scope_results,n_profiles,n_scopes,mean_penalized_profile_cosine,median_penalized_profile_cosine,minimum_penalized_profile_cosine,maximum_penalized_profile_cosine,mean_support_cosine,mean_outside_energy_fraction,mean_recovered_dynamic_range,qut_rejection_rate,mean_p_value,mean_lambda_qut,mean_lambda_max_obs,mean_lambda_ci_width,mean_lambda_bootstrap_std,expected_profile_scope_results,coverage_fraction,complete_coverage
1,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b050_p01000_s250,50,1000,250,20,4,5,0.9013104402207226,0.914421257799827,0.7323893129602632,0.9979213876079146,0.9620194162849188,0.12161484880343724,0.2203196942899376,1.0,0.0,17.275106239523236,81.39530059698775,20.491485367854974,5.7902421009142895,20,1.0,True
2,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p01000_s250,100,1000,250,20,4,5,0.9010984982473047,0.9150517026844107,0.7292786328036917,0.9967365392129852,0.9610214198618445,0.12017076255542163,0.22004411989822983,1.0,0.0,17.275106239523236,81.39530059698775,22.248506409021868,5.935158804945853,20,1.0,True
3,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p01000_s200,100,1000,200,20,4,5,0.8979671293523583,0.9143645769748651,0.7149824397890799,0.9971722190143313,0.9560064962569694,0.11735647688374481,0.22374679764732716,1.0,0.0,16.954073839388094,80.13255653304257,21.64824940286473,5.70815155351556,20,1.0,True
4,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b500_p01000_s100,500,1000,100,20,4,5,0.8959627061010563,0.9121767497667352,0.7262906699987324,0.997031276545894,0.9545180887792585,0.11830215977551346,0.24525574166327715,1.0,0.0,14.93010903329601,67.35658217144557,19.859028244998733,5.107592472674327,20,1.0,True
5,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b050_p02500_s250,50,2500,250,20,4,5,0.892648890463747,0.8865822480931163,0.7426650766465734,0.9912480008883899,0.9531772782105865,0.12202831332405775,0.28680527468211947,1.0,0.0,26.70832717712697,201.0680037049175,33.53007990673615,9.333674486463385,20,1.0,True
6,"descending mean penalized profile cosine; then descending mean support cosine, ascending mean outside-energy fraction, descending minimum penalized similarity, then ascending B/P/S",b100_p02500_s250,100,2500,250,20,4,5,0.892367707173596,0.8878594242330111,0.7423738453826693,0.9909905789046434,0.9532037969780719,0.12264279368837709,0.28652828885242343,1.0,0.0,26.70832717712697,201.0680037049175,34.77607642610293,9.16017260259012,20,1.0,True
