"run_id","simulation_tag","simulated_games","method","gam_method","basis_id","basis_k","profile","scope","config_key","n_bootstraps","possessions_per_bootstrap","samples_per_possession","map_estimator","map_status","similarity_method","profile_support_sectors","off_profile_sectors","recovered_background_level","light_leakage_exponent","moderate_leakage_exponent","whole_grid_cosine","support_cosine","outside_energy_fraction","lightly_penalized_whole_grid_cosine","moderately_penalized_whole_grid_cosine","recovered_support_energy","recovered_outside_energy","recovered_dynamic_range"
"reference__quarter_2__b050_p02500_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_2","b050_p02500_s250",50,2500,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0449645126205588,0.5,1,0.601276431242542,0.86017291379177,0.511373703393686,0.420303105307135,0.293799475834704,5.53427738911945,5.7919189854044,0.721116586024481
"reference__quarter_2__b050_p01000_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_2","b050_p01000_s250",50,1000,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0403115714485672,0.5,1,0.660715152307253,0.865390839547384,0.417086724948586,0.504447808480059,0.385139633307514,5.38922082925244,3.85610100490394,0.675262197246947
"reference__quarter_2__b100_p02500_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_2","b100_p02500_s250",100,2500,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0407277304060997,0.5,1,0.594922283674184,0.856731762513743,0.517796080417355,0.413119413915075,0.28687385703475,5.43594760006125,5.83718266558682,0.730835936942987
"reference__quarter_2__b100_p01000_s200","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_2","b100_p01000_s200",100,1000,200,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0381108675978361,0.5,1,0.622738320583145,0.860188566102487,0.475888304214131,0.450834888075589,0.326384437231676,5.39107308704433,4.89504174380444,0.704183163763117
"reference__quarter_2__b100_p01000_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_2","b100_p01000_s250",100,1000,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.038221786850179,0.5,1,0.652569235723966,0.865766674884112,0.43186510855948,0.491872255848105,0.370747351895459,5.19856609738862,3.9516659614232,0.675108301748267
"reference__quarter_3__b050_p02500_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_3","b050_p02500_s250",50,2500,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0388810922620557,0.5,1,0.478412757780671,0.829752067704344,0.667563410502007,0.27583994751654,0.159041905568936,7.72257938575846,15.5076534758534,0.951387991379085
"reference__quarter_3__b050_p01000_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_3","b050_p01000_s250",50,1000,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0416023953849385,0.5,1,0.489076843589873,0.83087257900213,0.653514273360288,0.287885489280565,0.169458145533894,7.8703709605212,14.8444780372994,0.932694181813434
"reference__quarter_3__b100_p02500_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_3","b100_p02500_s250",100,2500,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0345470958991064,0.5,1,0.472270886475021,0.826162551874848,0.673223108658258,0.269970830444624,0.154327212153516,7.54164928786844,15.5372448680265,0.954082334958145
"reference__quarter_3__b100_p01000_s200","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_3","b100_p01000_s200",100,1000,200,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0328818871483133,0.5,1,0.484326513610884,0.825302485615392,0.655610277422471,0.28422569406363,0.166797073659394,7.24112539329627,13.7848371095951,0.927592601026544
"reference__quarter_3__b100_p01000_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_3","b100_p01000_s250",100,1000,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0335988603605491,0.5,1,0.484762146309184,0.827726548442983,0.657008285247375,0.283903348196731,0.16626939980975,7.35139440456796,14.0817600664372,0.934144252051938
"reference__quarter_4__b050_p02500_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_4","b050_p02500_s250",50,2500,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0264257066877587,0.5,1,0.630679035728481,0.815133625875676,0.401369042864413,0.487964222651358,0.37754399480349,7.68674857158443,5.153797811725,0.739526051205899
"reference__quarter_4__b050_p01000_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_4","b050_p01000_s250",50,1000,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0397509295526681,0.5,1,0.670213447601736,0.835914308411207,0.357160200720603,0.537358986233836,0.430839878130653,8.23245306077531,4.57393053589002,0.739421885650133
"reference__quarter_4__b100_p02500_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_4","b100_p02500_s250",100,2500,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.03577645847748,0.5,1,0.6366174012569,0.822452695937349,0.400850565437765,0.492772067725049,0.381428955995551,8.06398589142888,5.39507027428507,0.748587095727977
"reference__quarter_4__b100_p01000_s200","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_4","b100_p01000_s200",100,1000,200,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0481286910179763,0.5,1,0.683960124699195,0.83887897344594,0.335242956237612,0.557650706462349,0.454667310546391,8.51685732955182,4.2951277550261,0.711641191106592
"reference__quarter_4__b100_p01000_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"reference","quarter_4","b100_p01000_s250",100,1000,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",50,150,-0.0397914391418208,0.5,1,0.683576430340027,0.833561925452058,0.327490503485807,0.560578310799164,0.459711640996941,8.23632597459182,4.01082595007695,0.713369057061466
"high_y_side__full_game__b050_p02500_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"high_y_side","full_game","b050_p02500_s250",50,2500,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",35,165,-0.0594461356353574,0.5,1,0.687395922481142,0.966818417540317,0.49449660888089,0.488729988663042,0.347480969855666,2.72923746056468,2.66981130649215,0.435705231533582
"high_y_side__full_game__b050_p01000_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"high_y_side","full_game","b050_p01000_s250",50,1000,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",35,165,-0.0512992224771589,0.5,1,0.737938552769842,0.962357631186227,0.412013423562645,0.565853368869552,0.433897963264275,2.55895829015356,1.79311094526749,0.397547067500906
"high_y_side__full_game__b100_p02500_s250","games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b",10,"thin_plate_spline","GCV.Cp","tp-k20-xmajor-yfast-absorbcons-false-nointercept-v1",20,"high_y_side","full_game","b100_p02500_s250",100,2500,250,"nested_prefix_median_v1","ok","whole_grid_cosine_dual_leakage_penalty_v2",35,165,-0.0574586141870834,0.5,1,0.689158946200502,0.966690128707254,0.491765399025775,0.491305371829253,0.350254422030029,2.6627476982708,2.57646209414914,0.431441209553097
