"performance_rank","ranking_method","config_key","n_bootstraps","possessions_per_bootstrap","samples_per_possession","n_profile_scope_results","n_profiles","n_scopes","mean_whole_grid_cosine","median_whole_grid_cosine","minimum_whole_grid_cosine","maximum_whole_grid_cosine","mean_lightly_penalized_whole_grid_cosine","median_lightly_penalized_whole_grid_cosine","minimum_lightly_penalized_whole_grid_cosine","maximum_lightly_penalized_whole_grid_cosine","mean_moderately_penalized_whole_grid_cosine","median_moderately_penalized_whole_grid_cosine","minimum_moderately_penalized_whole_grid_cosine","maximum_moderately_penalized_whole_grid_cosine","mean_support_cosine","mean_outside_energy_fraction","mean_recovered_dynamic_range","expected_profile_scope_results","coverage_fraction","complete_coverage"
1,"descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S","b050_p01000_s250",50,1000,250,20,4,5,0.61990054601819,0.665464299954494,0.285756194870289,0.803495333124289,0.446189384641131,0.495814780813456,0.0880071193816486,0.718232617846416,0.334487759462577,0.366688782534667,0.0271044099861824,0.642017535226581,0.909955728177013,0.507791933319497,0.666328314713991,20,1,TRUE
2,"descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S","b100_p01000_s250",100,1000,250,20,4,5,0.617183783042623,0.668072833031996,0.279346541216072,0.805069994960003,0.444228031395056,0.49463259254404,0.084075309165406,0.71918943662393,0.333704270867702,0.364889926661273,0.0253042603659483,0.642470156619293,0.909012276528418,0.509549740652622,0.666746214966306,20,1,TRUE
3,"descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S","b100_p01000_s200",100,1000,200,20,4,5,0.618847338079281,0.649381906479778,0.285320317289448,0.800291613729755,0.443775442828155,0.464112631639108,0.0872767525502521,0.711879083840333,0.331175413128116,0.331752112367012,0.0266971227569137,0.633233962864542,0.910434980236698,0.51094031487452,0.672965145537151,20,1,TRUE
4,"descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S","b100_p02500_s250",100,2500,250,20,4,5,0.593670802139163,0.615769842465542,0.263437704654581,0.782845986749977,0.413129630822962,0.423807003816671,0.0757277017109921,0.680871044551093,0.300586760266041,0.290029354119277,0.0217686561380737,0.598071985102894,0.905416256727067,0.542189942876154,0.691244692810842,20,1,TRUE
5,"descending mean moderate-penalty whole-grid cosine; then descending mean light-penalty and raw whole-grid cosine, descending support cosine, ascending leakage, descending minimum moderate score, then ascending B/P/S","b050_p02500_s250",50,2500,250,20,4,5,0.59328657890079,0.615977733485512,0.261914165189615,0.782596380894842,0.412853092107753,0.43161859904257,0.0747876273764038,0.683702867803772,0.300366850152632,0.297861661661929,0.0213550466220206,0.602799222877403,0.905221952481771,0.542473981187384,0.692870629381193,20,1,TRUE
