Unnamed: 0,period,time,x,y,z,possession_start,possession_end,possession_number,scored,x_bin,y_bin
5230,1,521.44,65.78266,42.68145,7.46613,525.0,517.0,100000,1,13,8
5324,1,517.68,91.21116,31.09429,4.35599,525.0,517.0,100000,1,19,6
5696,1,518.8,89.10525,27.78623,4.234,525.0,517.0,100000,1,18,5
5612,1,522.16,61.84874,46.41393,2.85258,525.0,517.0,100000,1,13,9
5611,1,522.2,61.54412,46.40684,3.16511,525.0,517.0,100000,1,13,9
5418,1,521.92,63.50803,45.91503,0.40537,525.0,517.0,100000,1,13,9
5266,1,520.0,87.14451,22.71001,7.24323,525.0,517.0,100000,1,18,4
5473,1,519.72,88.06666,23.05442,3.62146,525.0,517.0,100000,1,18,4
5088,1,523.96,58.02663,46.05477,4.34294,525.0,517.0,100000,1,12,9
5097,1,523.6,59.77108,45.50936,4.76166,525.0,517.0,100000,1,12,9
5599,1,522.68,60.40813,47.07355,4.95851,525.0,517.0,100000,1,12,9
5520,1,517.84,91.01692,30.46841,5.35049,525.0,517.0,100000,1,19,6
5127,1,522.4,60.78407,46.60801,4.8712,525.0,517.0,100000,1,12,9
5584,1,523.28,60.0932,46.51022,5.09762,525.0,517.0,100000,1,12,9
5626,1,521.6,65.12663,45.32736,3.16544,525.0,517.0,100000,1,13,9
5540,1,517.04,92.23108,32.46625,3.49289,525.0,517.0,100000,1,19,6
5262,1,520.16,86.79215,22.83848,9.21602,525.0,517.0,100000,1,18,4
5297,1,518.76,89.17168,28.32128,3.53749,525.0,517.0,100000,1,18,5
5669,1,519.88,87.86206,22.77506,5.77408,525.0,517.0,100000,1,18,4
5103,1,523.36,59.80249,46.4071,4.68279,525.0,517.0,100000,1,12,9
5252,1,520.56,82.19118,27.74989,12.63491,525.0,517.0,100000,1,17,5
5120,1,522.68,60.40813,47.07355,4.95851,525.0,517.0,100000,1,12,9
5221,1,521.8,64.18622,45.68724,1.64364,525.0,517.0,100000,1,13,9
5621,1,521.8,64.18622,45.68724,1.64364,525.0,517.0,100000,1,13,9
5583,1,523.32,59.99374,46.39893,5.11615,525.0,517.0,100000,1,12,9
5339,1,517.08,92.16512,32.41612,3.38093,525.0,517.0,100000,1,19,6
