,period,time,x,y,z,possession_start,possession_end,possession_number,scored,x_bin,y_bin
25269,1,35.38,60.43352,13.80159,1.76814,51.0,35.0,27,0,12,2
25270,1,35.34,60.04519,13.66627,2.49162,51.0,35.0,27,0,12,2
25271,1,35.3,59.40089,13.68302,2.88474,51.0,35.0,27,0,12,2
25272,1,35.26,58.53154,13.72576,3.19269,51.0,35.0,27,0,12,2
25273,1,35.22,57.52791,13.78325,3.42668,51.0,35.0,27,0,12,2
25274,1,35.18,56.48076,13.84424,3.59793,51.0,35.0,27,0,12,2
25275,1,35.14,55.31323,13.91958,3.70668,51.0,35.0,27,0,11,2
25276,1,35.1,54.18073,13.89449,3.54369,51.0,35.0,27,0,11,2
25277,1,35.06,52.90525,13.83003,3.55558,51.0,35.0,27,0,11,2
25278,1,35.02,51.72651,13.87005,2.8241,51.0,35.0,27,0,11,2
25279,1,50.74,18.74124,26.00676,3.981,51.0,35.0,27,0,3,5
25280,1,50.7,19.24271,26.21717,4.03101,51.0,35.0,27,0,4,5
25281,1,50.66,19.53554,26.37111,3.91872,51.0,35.0,27,0,4,5
25282,1,50.62,20.00665,26.46819,3.65074,51.0,35.0,27,0,4,5
25283,1,50.58,18.89874,27.6386,3.67153,51.0,35.0,27,0,4,5
25284,1,50.54,20.09222,27.42362,2.46017,51.0,35.0,27,0,4,5
25285,1,50.5,21.08854,27.23623,1.69103,51.0,35.0,27,0,4,5
25286,1,50.46,21.88255,27.07493,1.26473,51.0,35.0,27,0,4,5
25287,1,50.42,22.46912,26.9382,1.08184,51.0,35.0,27,0,4,5
25288,1,50.38,22.84312,26.82456,1.04297,51.0,35.0,27,0,4,5
25289,1,50.34,23.03021,26.74151,1.64513,51.0,35.0,27,0,4,5
25290,1,50.3,23.32956,26.68005,2.21746,51.0,35.0,27,0,4,5
25291,1,50.26,23.59932,26.68464,2.75589,51.0,35.0,27,0,5,5
25292,1,50.22,23.68063,26.57566,3.15109,51.0,35.0,27,0,5,5
25293,1,50.18,23.99211,26.57837,3.61748,51.0,35.0,27,0,5,5
25294,1,50.14,24.23103,26.55904,3.81614,51.0,35.0,27,0,5,5
25295,1,50.1,24.58646,26.62948,4.11289,51.0,35.0,27,0,5,5
25296,1,50.06,25.04506,26.78459,4.35784,51.0,35.0,27,0,5,5
25297,1,50.02,25.4028,26.72836,4.33152,51.0,35.0,27,0,5,5
25298,1,49.98,25.97966,26.88606,4.37719,51.0,35.0,27,0,5,5
25299,1,49.94,26.38538,26.89994,4.18914,51.0,35.0,27,0,5,5
25300,1,49.9,27.00088,26.96414,3.94931,51.0,35.0,27,0,5,5
25301,1,49.86,27.62143,27.05781,3.59063,51.0,35.0,27,0,5,5
25302,1,49.82,28.16609,27.07431,2.99114,51.0,35.0,27,0,5,5
25303,1,49.78,28.69574,27.05383,2.36384,51.0,35.0,27,0,6,5
25304,1,49.74,29.18822,26.97261,1.601,51.0,35.0,27,0,6,5
25305,1,49.7,29.65075,26.92747,0.70442,51.0,35.0,27,0,6,5
25306,1,49.66,29.98492,26.94009,0.65971,51.0,35.0,27,0,6,5
25307,1,49.62,30.33168,26.88213,1.39424,51.0,35.0,27,0,6,5
25308,1,49.58,30.41533,26.74479,1.90932,51.0,35.0,27,0,6,5
25309,1,49.54,30.58149,26.6681,2.4933,51.0,35.0,27,0,6,5
25310,1,49.5,30.88819,26.73035,2.93824,51.0,35.0,27,0,6,5
25311,1,49.46,31.09462,26.66435,3.14814,51.0,35.0,27,0,6,5
