game_id,possession_number,period,possession_start_elapsed,possession_end_elapsed,offense_team_id,points_scored,event_count
21500057,1,1,0,17,1610612761,2,3
21500057,2,1,35,35,1610612742,2,1
21500057,3,1,48,48,1610612761,0,1
21500057,4,1,59,59,1610612742,0,3
21500057,5,1,80,92,1610612761,0,5
21500057,6,1,103,104,1610612742,0,2
21500057,7,1,112,112,1610612761,2,1
21500057,8,1,122,124,1610612742,0,2
21500057,9,1,136,136,1610612761,2,1
21500057,10,1,146,146,1610612742,2,1
21500057,11,1,167,167,1610612761,2,1
21500057,12,1,176,191,1610612742,0,6
21500057,13,1,203,203,1610612761,0,2
21500057,14,1,212,213,1610612742,0,5
21500057,15,1,229,231,1610612761,0,2
21500057,16,1,239,241,1610612742,0,2
21500057,17,1,254,255,1610612761,0,2
21500057,18,1,270,270,1610612742,3,1
21500057,19,1,294,294,1610612761,3,1
21500057,20,1,306,307,1610612742,0,2
21500057,21,1,318,328,1610612761,2,3
21500057,22,1,328,344,1610612742,2,2
21500057,23,1,360,360,1610612761,2,1
21500057,24,1,368,368,1610612742,2,3
21500057,25,1,386,386,1610612761,3,1
21500057,26,1,398,398,1610612742,2,1
21500057,27,1,413,413,1610612761,2,1
21500057,28,1,424,424,1610612742,3,1
21500057,29,1,433,434,1610612761,0,2
21500057,30,1,440,440,1610612742,0,2
21500057,31,1,451,454,1610612761,2,3
21500057,32,1,463,463,1610612742,0,2
21500057,33,1,480,480,1610612761,2,1
21500057,34,1,501,505,1610612742,2,5
21500057,35,1,515,521,1610612761,0,4
21500057,36,1,528,531,1610612742,0,2
21500057,37,1,536,536,1610612761,0,1
21500057,38,1,551,552,1610612742,0,2
21500057,39,1,557,557,1610612761,3,1
21500057,40,1,577,577,1610612742,0,1
21500057,41,1,597,604,1610612761,0,5
21500057,42,1,608,609,1610612742,1,4
21500057,43,1,626,627,1610612761,0,2
21500057,44,1,631,631,1610612742,1,4
21500057,45,1,648,648,1610612761,2,1
21500057,46,1,661,662,1610612742,0,2
21500057,47,1,670,670,1610612761,0,2
21500057,48,1,687,687,1610612742,3,1
21500057,49,1,708,708,1610612761,2,1
21500057,50,1,717,717,1610612742,2,1
21500057,51,1,719,720,1610612761,0,2
21500057,52,2,720,741,1610612742,0,3
21500057,53,2,759,760,1610612761,0,2
21500057,54,2,774,774,1610612742,2,1
21500057,55,2,774,774,1610612742,1,2
21500057,56,2,786,787,1610612761,0,2
21500057,57,2,793,793,1610612742,2,1
21500057,58,2,793,794,1610612742,0,3
21500057,59,2,818,818,1610612761,0,2
21500057,60,2,818,856,1610612761,0,7
21500057,61,2,865,865,1610612742,2,1
21500057,62,2,872,891,1610612761,0,3
21500057,63,2,905,909,1610612742,0,4
21500057,64,2,917,917,1610612761,0,2
21500057,65,2,932,932,1610612742,2,1
21500057,66,2,951,962,1610612761,2,2
21500057,67,2,970,974,1610612742,2,3
21500057,68,2,988,988,1610612761,0,1
21500057,69,2,995,1000,1610612742,3,3
21500057,70,2,1023,1032,1610612761,0,3
21500057,71,2,1037,1037,1610612742,0,1
21500057,72,2,1042,1042,1610612761,2,1
21500057,73,2,1057,1072,1610612742,0,4
21500057,74,2,1085,1085,1610612761,2,1
21500057,75,2,1098,1098,1610612742,2,1
21500057,76,2,1115,1116,1610612761,0,2
21500057,77,2,1127,1128,1610612742,0,2
21500057,78,2,1135,1135,1610612761,0,1
21500057,79,2,1146,1165,1610612761,0,4
21500057,80,2,1170,1170,1610612742,1,4
21500057,81,2,1183,1194,1610612761,0,4
21500057,82,2,1199,1201,1610612742,0,2
21500057,83,2,1209,1209,1610612761,2,1
21500057,84,2,1225,1226,1610612742,0,2
21500057,85,2,1234,1234,1610612761,2,1
21500057,86,2,1235,1254,1610612742,0,3
21500057,87,2,1263,1263,1610612761,2,1
21500057,88,2,1283,1283,1610612742,3,1
21500057,89,2,1294,1295,1610612761,0,2
21500057,90,2,1302,1302,1610612742,2,4
21500057,91,2,1324,1326,1610612761,3,6
21500057,92,2,1344,1344,1610612742,2,1
21500057,93,2,1355,1355,1610612761,0,1
21500057,94,2,1362,1363,1610612742,0,2
21500057,95,2,1372,1372,1610612761,1,4
21500057,96,2,1384,1384,1610612742,2,1
21500057,97,2,1395,1395,1610612761,2,3
21500057,98,2,1410,1411,1610612742,0,2
21500057,99,2,1432,1438,1610612761,0,4
21500057,100,2,1440,1440,1610612742,0,2
21500057,101,3,1440,1451,1610612742,0,3
21500057,102,3,1467,1467,1610612761,0,1
21500057,103,3,1477,1477,1610612742,0,1
21500057,104,3,1493,1497,1610612761,0,4
21500057,105,3,1503,1513,1610612742,1,5
21500057,106,3,1521,1521,1610612761,2,1
21500057,107,3,1539,1545,1610612742,3,3
21500057,108,3,1563,1563,1610612761,2,3
21500057,109,3,1573,1574,1610612742,0,2
21500057,110,3,1584,1584,1610612761,2,1
21500057,111,3,1605,1605,1610612742,2,3
21500057,112,3,1622,1622,1610612761,2,1
21500057,113,3,1634,1634,1610612742,2,1
21500057,114,3,1645,1645,1610612761,2,1
21500057,115,3,1665,1665,1610612742,2,1
21500057,116,3,1690,1690,1610612761,2,1
21500057,117,3,1704,1704,1610612742,2,1
21500057,118,3,1724,1724,1610612761,2,1
21500057,119,3,1743,1743,1610612742,2,1
21500057,120,3,1760,1760,1610612761,2,1
21500057,121,3,1772,1772,1610612742,2,1
21500057,122,3,1792,1792,1610612761,0,1
21500057,123,3,1799,1800,1610612742,0,2
21500057,124,3,1804,1818,1610612761,0,3
21500057,125,3,1831,1832,1610612742,0,2
21500057,126,3,1841,1842,1610612761,0,2
21500057,127,3,1848,1848,1610612742,0,2
21500057,128,3,1870,1878,1610612761,1,7
21500057,129,3,1887,1896,1610612742,0,4
