game_id,possession_number,period,possession_start_elapsed,possession_end_elapsed,offense_team_id,points_scored,event_count
21500188,1,1,0,19,1610612747,0,4
21500188,2,1,39,40,1610612761,0,2
21500188,3,1,55,55,1610612747,2,1
21500188,4,1,69,70,1610612761,0,2
21500188,5,1,77,78,1610612747,0,2
21500188,6,1,88,88,1610612761,3,1
21500188,7,1,107,107,1610612747,2,3
21500188,8,1,117,117,1610612761,0,2
21500188,9,1,137,138,1610612747,0,2
21500188,10,1,152,158,1610612761,3,2
21500188,11,1,168,168,1610612747,0,1
21500188,12,1,185,185,1610612761,0,2
21500188,13,1,195,197,1610612747,0,2
21500188,14,1,206,207,1610612761,0,2
21500188,15,1,215,222,1610612747,3,3
21500188,16,1,239,239,1610612761,0,1
21500188,17,1,246,246,1610612747,2,1
21500188,18,1,252,262,1610612761,2,2
21500188,19,1,280,280,1610612747,2,1
21500188,20,1,299,299,1610612761,3,1
21500188,21,1,314,314,1610612747,2,1
21500188,22,1,330,331,1610612761,0,2
21500188,23,1,338,338,1610612747,2,1
21500188,24,1,359,360,1610612761,0,2
21500188,25,1,377,379,1610612747,0,2
21500188,26,1,394,394,1610612761,2,1
21500188,27,1,394,428,1610612761,0,5
21500188,28,1,433,435,1610612747,0,2
21500188,29,1,444,444,1610612761,3,1
21500188,30,1,465,465,1610612747,2,3
21500188,31,1,487,491,1610612761,0,4
21500188,32,1,498,498,1610612747,0,2
21500188,33,1,519,519,1610612761,0,2
21500188,34,1,519,531,1610612747,0,2
21500188,35,1,548,548,1610612761,3,1
21500188,36,1,570,570,1610612747,0,2
21500188,37,1,578,579,1610612761,0,2
21500188,38,1,596,596,1610612747,0,1
21500188,39,1,596,611,1610612761,2,2
21500188,40,1,629,629,1610612747,2,1
21500188,41,1,650,658,1610612761,2,2
21500188,42,1,679,679,1610612747,2,1
21500188,43,1,686,686,1610612761,2,3
21500188,44,1,705,705,1610612747,0,1
21500188,45,1,717,717,1610612761,2,1
21500188,46,1,719,720,1610612747,0,2
21500188,47,2,720,738,1610612761,0,3
21500188,48,2,749,749,1610612747,3,1
21500188,49,2,756,756,1610612761,0,1
21500188,50,2,770,770,1610612747,3,1
21500188,51,2,792,794,1610612761,0,2
21500188,52,2,812,812,1610612747,2,1
21500188,53,2,830,830,1610612761,0,1
21500188,54,2,836,840,1610612747,0,2
21500188,55,2,849,851,1610612761,0,2
