game_id,possession_number,period,possession_start_elapsed,possession_end_elapsed,offense_team_id,points_scored,event_count
21500540,1,1,0,17,1610612764,0,4
21500540,2,1,40,41,1610612761,0,2
21500540,3,1,45,45,1610612764,2,1
21500540,4,1,75,76,1610612761,0,2
21500540,5,1,84,85,1610612764,0,2
21500540,6,1,99,102,1610612761,0,3
21500540,7,1,106,106,1610612764,2,1
21500540,8,1,122,122,1610612761,0,1
21500540,9,1,128,128,1610612764,0,1
21500540,10,1,143,143,1610612761,2,1
21500540,11,1,157,157,1610612764,2,1
21500540,12,1,180,182,1610612761,0,2
21500540,13,1,186,186,1610612764,0,1
21500540,14,1,201,219,1610612761,0,6
21500540,15,1,225,226,1610612764,0,2
21500540,16,1,227,227,1610612761,0,1
21500540,17,1,237,238,1610612764,0,2
21500540,18,1,247,251,1610612761,2,2
21500540,19,1,264,275,1610612764,0,3
21500540,20,1,288,288,1610612761,2,1
21500540,21,1,301,302,1610612764,0,2
21500540,22,1,309,309,1610612761,0,1
21500540,23,1,310,310,1610612764,2,4
21500540,24,1,319,319,1610612764,3,1
21500540,25,1,343,343,1610612761,2,1
21500540,26,1,357,362,1610612764,3,3
21500540,27,1,375,375,1610612761,0,1
21500540,28,1,384,384,1610612764,2,1
21500540,29,1,406,406,1610612761,2,3
21500540,30,1,413,413,1610612764,0,1
21500540,31,1,424,424,1610612761,0,2
21500540,32,1,438,439,1610612764,0,2
21500540,33,1,446,447,1610612761,0,2
21500540,34,1,450,450,1610612764,2,1
21500540,35,1,455,469,1610612761,0,3
21500540,36,1,476,482,1610612764,1,3
21500540,37,1,489,495,1610612761,0,4
21500540,38,1,500,503,1610612764,0,2
21500540,39,1,517,524,1610612761,2,3
21500540,40,1,536,536,1610612764,2,1
21500540,41,1,550,550,1610612761,2,1
21500540,42,1,571,571,1610612764,2,1
21500540,43,1,580,580,1610612761,0,1
21500540,44,1,580,599,1610612764,0,3
21500540,45,1,611,611,1610612761,2,3
21500540,46,1,631,631,1610612764,3,1
21500540,47,1,654,655,1610612761,0,2
21500540,48,1,666,666,1610612764,0,2
21500540,49,1,680,681,1610612761,0,2
21500540,50,1,686,692,1610612764,0,3
21500540,51,1,706,710,1610612761,2,3
21500540,52,1,718,720,1610612764,0,2
21500540,53,2,720,737,1610612761,2,2
21500540,54,2,752,752,1610612764,0,1
21500540,55,2,771,771,1610612761,2,1
21500540,56,2,783,784,1610612764,0,2
21500540,57,2,791,792,1610612761,0,2
21500540,58,2,797,797,1610612764,2,1
21500540,59,2,797,797,1610612764,1,2
21500540,60,2,810,814,1610612761,3,3
21500540,61,2,832,832,1610612764,0,2
21500540,62,2,847,847,1610612761,2,1
21500540,63,2,858,858,1610612764,2,3
21500540,64,2,882,882,,0,3
21500540,65,2,895,895,1610612764,2,1
21500540,66,2,921,921,1610612761,2,1
21500540,67,2,923,973,1610612761,1,9
21500540,68,2,979,981,1610612764,0,2
21500540,69,2,984,984,1610612761,0,1
21500540,70,2,1002,1003,1610612764,0,2
21500540,71,2,1011,1011,1610612761,2,1
21500540,72,2,1019,1019,1610612764,0,1
21500540,73,2,1031,1046,1610612761,0,3
21500540,74,2,1055,1055,1610612764,0,1
21500540,75,2,1063,1063,1610612761,2,1
21500540,76,2,1078,1078,1610612764,3,1
21500540,77,2,1099,1100,1610612761,0,2
21500540,78,2,1107,1124,1610612761,2,5
21500540,79,2,1144,1144,1610612764,0,1
21500540,80,2,1147,1155,1610612761,0,3
21500540,81,2,1168,1169,1610612764,0,2
21500540,82,2,1183,1185,1610612761,0,2
21500540,83,2,1187,1187,1610612764,0,1
21500540,84,2,1196,1196,1610612761,2,3
21500540,85,2,1207,1207,1610612764,2,1
21500540,86,2,1219,1220,1610612761,0,2
21500540,87,2,1229,1229,1610612764,2,1
21500540,88,2,1239,1255,1610612761,3,2
21500540,89,2,1273,1282,1610612764,1,4
21500540,90,2,1285,1285,1610612761,2,1
21500540,91,2,1300,1301,1610612764,0,2
21500540,92,2,1301,1301,1610612761,2,3
21500540,93,2,1309,1310,1610612764,0,2
21500540,94,2,1317,1317,1610612761,0,2
21500540,95,2,1327,1327,1610612764,2,1
21500540,96,2,1352,1353,1610612761,0,2
21500540,97,2,1361,1361,1610612764,3,1
21500540,98,2,1376,1376,1610612761,0,2
21500540,99,2,1386,1388,1610612764,0,2
21500540,100,2,1398,1399,1610612761,1,6
21500540,101,2,1408,1409,1610612764,0,2
21500540,102,2,1427,1427,1610612761,2,3
21500540,103,2,1434,1440,1610612764,0,6
21500540,104,3,1440,1458,1610612761,0,2
21500540,105,3,1479,1492,1610612764,2,4
21500540,106,3,1515,1516,1610612761,0,2
21500540,107,3,1526,1527,1610612764,0,2
21500540,108,3,1542,1542,1610612761,2,3
21500540,109,3,1555,1555,1610612764,2,1
21500540,110,3,1579,1580,1610612761,0,2
21500540,111,3,1594,1595,1610612764,0,2
21500540,112,3,1602,1607,1610612761,2,3
21500540,113,3,1618,1618,1610612764,0,1
21500540,114,3,1623,1625,1610612761,0,2
21500540,115,3,1639,1639,1610612764,2,1
21500540,116,3,1660,1660,1610612761,0,1
21500540,117,3,1664,1664,1610612764,2,1
21500540,118,3,1666,1675,1610612761,0,3
21500540,119,3,1691,1699,1610612764,0,4
21500540,120,3,1712,1716,1610612761,2,3
21500540,121,3,1716,1716,1610612761,1,2
21500540,122,3,1726,1727,1610612764,0,2
21500540,123,3,1742,1742,1610612761,2,1
21500540,124,3,1752,1752,1610612764,2,1
21500540,125,3,1771,1771,1610612761,2,1
21500540,126,3,1775,1775,1610612764,0,1
21500540,127,3,1794,1797,1610612761,2,3
21500540,128,3,1811,1812,1610612764,0,2
