run_id,stream_id,profile,scope,config_id,config_key,bootstrap_group_key,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,is_baseline,is_individual_profile_like,bootstrap_seed,null_seed,simulation_tag,sweep_tag,sweep_design_version,seed_policy_version,map_estimator,source_possessions,status,elapsed_seconds,lambda_qut,lambda_max_obs,lambda_ci_low,lambda_ci_high,lambda_ci_width,lambda_bootstrap_mean,lambda_bootstrap_std,bootstrap_draws_requested,bootstrap_draws_successful,p_value,reject_qut,error
high_y_side__quarter_1__b100_p01000_s250,high_y_side__quarter_1__p01000_s250,high_y_side,quarter_1,5,b100_p01000_s250,p01000_s250,selected_ranked_validation,100,1000,250,False,False,3078264424,1835426287,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,70.7753091999839,18.63506907352363,90.35454977426984,84.39044276159142,104.01386004907758,19.623417287486163,93.52215212411512,5.282697800264955,100,100,0.0,True,
high_y_side__quarter_1__b100_p01000_s200,high_y_side__quarter_1__p01000_s200,high_y_side,quarter_1,3,b100_p01000_s200,p01000_s200,selected_ranked_validation,100,1000,200,True,False,1046329125,2334718242,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,68.22417500001757,17.589778645018598,96.2530341790946,82.15315356518907,99.17515034281524,17.02199677762617,90.9317783992112,4.794337378993656,100,100,0.0,True,
high_y_side__quarter_2__b500_p01000_s100,high_y_side__quarter_2__p01000_s100,high_y_side,quarter_2,0,b500_p01000_s100,p01000_s100,selected_ranked_validation,500,1000,100,False,False,2774607307,2026435672,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,352.0521531999584,14.594109962110648,66.14061190180051,63.39605501060076,82.58649136001752,19.19043634941676,73.02697989329653,4.833936533387995,500,500,0.0,True,
high_y_side__quarter_2__b050_p02500_s250,high_y_side__quarter_2__p02500_s250,high_y_side,quarter_2,1,b050_p02500_s250,p02500_s250,selected_ranked_validation,50,2500,250,False,False,1961067986,1156654427,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,65.8766328999809,25.43178752427868,205.19573861564632,200.0891508639148,222.68954617514197,22.60039531122717,212.16330373592973,7.703605013519495,50,50,0.0,True,
high_y_side__quarter_2__b100_p02500_s250,high_y_side__quarter_2__p02500_s250,high_y_side,quarter_2,4,b100_p02500_s250,p02500_s250,selected_ranked_validation,100,2500,250,False,False,1961067986,1156654427,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,128.11710109996056,25.43178752427868,205.19573861564632,197.2478908652506,223.55751681180348,26.30962594655287,211.9040728144749,7.663062494274777,100,100,0.0,True,
high_y_side__quarter_2__b050_p01000_s250,high_y_side__quarter_2__p01000_s250,high_y_side,quarter_2,2,b050_p01000_s250,p01000_s250,selected_ranked_validation,50,1000,250,False,False,755582009,1090568348,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,36.97248099998978,16.59355323947177,77.70279002296013,76.98631586085195,94.31335174933795,17.32703588848601,84.57737359854993,4.885214654066892,50,50,0.0,True,
high_y_side__quarter_2__b100_p01000_s250,high_y_side__quarter_2__p01000_s250,high_y_side,quarter_2,5,b100_p01000_s250,p01000_s250,selected_ranked_validation,100,1000,250,False,False,755582009,1090568348,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,70.465376499993,16.59355323947177,77.70279002296013,75.5414514570173,94.2925981334184,18.751146676401103,85.10445707266112,5.141672475477258,100,100,0.0,True,
high_y_side__quarter_2__b100_p01000_s200,high_y_side__quarter_2__p01000_s200,high_y_side,quarter_2,3,b100_p01000_s200,p01000_s200,selected_ranked_validation,100,1000,200,True,False,2801856142,279321663,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,67.56826289998935,18.485547155161388,89.11662759162353,73.58517296400545,91.22993939253516,17.64476642852972,81.94578960638253,4.964413036810396,100,100,0.0,True,
high_y_side__quarter_3__b500_p01000_s100,high_y_side__quarter_3__p01000_s100,high_y_side,quarter_3,0,b500_p01000_s100,p01000_s100,selected_ranked_validation,500,1000,100,False,False,3547676325,263954713,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,307.3372870000385,13.74146433854031,86.71527944251785,80.10697979305033,95.57004312889926,15.46306333584893,87.41283008388828,4.089644286570641,500,500,0.0,True,
high_y_side__quarter_3__b050_p02500_s250,high_y_side__quarter_3__p02500_s250,high_y_side,quarter_3,1,b050_p02500_s250,p02500_s250,selected_ranked_validation,50,2500,250,False,False,3975477869,3399767438,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b,games8_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.10_mc100_alpha0.05_min100_profiles2b1671cb4b_plandc0cd9facf,factorial_nested_prefix_median_v1,sha256_slot_seed_v1,nested_prefix_median_v1,184,ok,69.39623909999136,25.924883421096546,257.5221961256686,243.10111817998884,271.2098867511523,28.10876857116344,257.78927163696443,7.991968142188866,50,50,0.0,True,
