run_id,profile,scope,config_id,design,varied_parameter,varied_value,n_bootstraps,possessions_per_bootstrap,samples_per_possession,source_possessions,status,elapsed_seconds,lambda_qut,lambda_max_obs,lambda_ci_low,lambda_ci_high,p_value,reject_qut,error,simulation_tag,run_seed
reference__quarter_4__config_03,reference,quarter_4,3,one_factor_sweep,n_bootstraps,500.0,500,1000,200,230,ok,70.07452149999881,17.400171121904553,70.38336038655115,61.9726467135971,83.97381296326837,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,145
reference__full_game__config_04,reference,full_game,4,one_factor_sweep,possessions_per_bootstrap,100.0,100,100,200,920,ok,5.109987200001342,5.227054966036525,7.161895381926632,4.756519765244784,9.843483092152496,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,146
reference__quarter_1__config_04,reference,quarter_1,4,one_factor_sweep,possessions_per_bootstrap,100.0,100,100,200,230,ok,5.115020799999911,5.010819477706285,8.91647960638309,5.831444427457024,11.107150215553096,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,146
reference__quarter_2__config_04,reference,quarter_2,4,one_factor_sweep,possessions_per_bootstrap,100.0,100,100,200,230,ok,5.170243799999298,4.77685222793689,4.937404951377428,4.642945232897602,9.30092510881145,0.04,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,146
reference__quarter_3__config_04,reference,quarter_3,4,one_factor_sweep,possessions_per_bootstrap,100.0,100,100,200,230,ok,5.153226900001755,4.887543455263068,6.804447549381053,4.139547617607159,9.72881015078779,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,146
reference__quarter_4__config_04,reference,quarter_4,4,one_factor_sweep,possessions_per_bootstrap,100.0,100,100,200,230,ok,5.248484899999312,5.282063778263594,8.868398595693048,4.943893973515726,11.666280224697507,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,146
reference__full_game__config_05,reference,full_game,5,one_factor_sweep,possessions_per_bootstrap,10000.0,100,10000,200,920,ok,121.41800810000132,50.42993963104366,622.6270990242523,587.9989197291613,644.0591790317204,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,147
reference__quarter_1__config_05,reference,quarter_1,5,one_factor_sweep,possessions_per_bootstrap,10000.0,100,10000,200,230,ok,122.09261129999868,52.46590729335713,801.9768024063335,761.8151820865094,813.6713906483926,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,147
reference__quarter_2__config_05,reference,quarter_2,5,one_factor_sweep,possessions_per_bootstrap,10000.0,100,10000,200,230,ok,120.7937696000008,51.61404144062252,613.6652385952708,586.0762211292986,648.8076206635515,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,147
reference__quarter_3__config_05,reference,quarter_3,5,one_factor_sweep,possessions_per_bootstrap,10000.0,100,10000,200,230,ok,121.71545139999944,55.3432816506722,556.4132583071226,539.2954999149497,597.4753280407925,0.0,True,,games10_possessions92_source4370615271_grid20x10_trajectory142_outcome242_baseline0.00_mc100_alpha0.05_min100,147
