run_id,profile,scope,config_id,design,n_bootstraps,possessions_per_bootstrap,samples_per_possession,lambda_qut,map_status,spatial_correlation,standardized_rmse,recovered_dynamic_range,error
high_y_side__quarter_2__config_07,high_y_side,quarter_2,7,one_factor_sweep,100,1000,100,14.81842503669169,ok,0.8535454908866765,0.5780642586985227,0.33517083525657615,
high_y_side__quarter_3__config_07,high_y_side,quarter_3,7,one_factor_sweep,100,1000,100,15.885403335910132,ok,0.8711709371941563,0.5236598594909789,0.18818803876638412,
high_y_side__quarter_4__config_07,high_y_side,quarter_4,7,one_factor_sweep,100,1000,100,14.026700549758058,ok,0.7760521710659438,0.7277316637094835,0.26932520419359207,
high_y_side__full_game__config_08,high_y_side,full_game,8,one_factor_sweep,100,1000,150,16.303474186709696,ok,0.8498671375941685,0.5801535742170036,0.22156670689582825,
high_y_side__quarter_1__config_08,high_y_side,quarter_1,8,one_factor_sweep,100,1000,150,17.430435718623244,ok,0.8616395290301986,0.5689013764149095,0.2616199776530266,
high_y_side__quarter_2__config_08,high_y_side,quarter_2,8,one_factor_sweep,100,1000,150,16.080129230885696,ok,0.8783975593239799,0.5203369169774982,0.32946012169122696,
high_y_side__quarter_3__config_08,high_y_side,quarter_3,8,one_factor_sweep,100,1000,150,15.423065678055176,ok,0.901560711555455,0.44556522564502793,0.18868902325630188,
high_y_side__quarter_4__config_08,high_y_side,quarter_4,8,one_factor_sweep,100,1000,150,17.12170827823769,ok,0.8452189005237063,0.5957351215645124,0.22390654310584068,
high_y_side__full_game__config_09,high_y_side,full_game,9,one_factor_sweep,100,1000,250,17.551746591288744,ok,0.9015339117534307,0.4774443150575471,0.21915782243013382,
high_y_side__quarter_1__config_09,high_y_side,quarter_1,9,one_factor_sweep,100,1000,250,16.688855748151912,ok,0.7746566504134778,0.7068949145848874,0.2787482365965843,
high_y_side__quarter_2__config_09,high_y_side,quarter_2,9,one_factor_sweep,100,1000,250,17.314466374717778,ok,0.8739941193577894,0.5327668212731408,0.30366894602775574,
high_y_side__quarter_3__config_09,high_y_side,quarter_3,9,one_factor_sweep,100,1000,250,16.985983740322034,ok,0.8652757421492434,0.529024229234686,0.17071740329265594,
high_y_side__quarter_4__config_09,high_y_side,quarter_4,9,one_factor_sweep,100,1000,250,17.940363725547332,ok,0.7349645565924037,0.801408446011722,0.22445067018270493,
high_y_side__full_game__config_10,high_y_side,full_game,10,individual_profile_like,100,10000,150,48.813354113500935,ok,0.8669539498003148,0.5482455249430752,0.30420438200235367,
high_y_side__quarter_1__config_10,high_y_side,quarter_1,10,individual_profile_like,100,10000,150,58.66533120675364,ok,0.7805633787535343,0.682460890938255,0.47957596480846404,
high_y_side__quarter_2__config_10,high_y_side,quarter_2,10,individual_profile_like,100,10000,150,46.96582933609978,ok,0.8065987203037842,0.6425674030502272,0.5795450583100319,
high_y_side__quarter_3__config_10,high_y_side,quarter_3,10,individual_profile_like,100,10000,150,46.111003948042736,ok,0.6339147770656418,0.8706503463243439,0.33810800313949585,
high_y_side__quarter_4__config_10,high_y_side,quarter_4,10,individual_profile_like,100,10000,150,48.90865073811141,ok,0.6681773317694101,0.8665137991502516,0.43098906129598613,
low_y_side__full_game__config_00,low_y_side,full_game,0,baseline,100,1000,200,17.46267705455952,ok,0.828181789348319,0.6151669322244301,0.23635468631982803,
low_y_side__quarter_1__config_00,low_y_side,quarter_1,0,baseline,100,1000,200,17.568910833722295,ok,0.7859878583357023,0.6888503757489254,0.26327140629291534,
low_y_side__quarter_2__config_00,low_y_side,quarter_2,0,baseline,100,1000,200,15.548839761880393,ok,0.9011766521340115,0.47866998256469534,0.24998503923416138,
low_y_side__quarter_3__config_00,low_y_side,quarter_3,0,baseline,100,1000,200,17.801952704053303,ok,0.8023484665359455,0.6823366495874107,0.22724932804703712,
low_y_side__quarter_4__config_00,low_y_side,quarter_4,0,baseline,100,1000,200,15.951481098056632,ok,0.6561168757363518,0.8610142438335677,0.3296998869627714,
low_y_side__full_game__config_01,low_y_side,full_game,1,one_factor_sweep,10,1000,200,17.16045254538049,ok,0.8593649606557068,0.568137387656562,0.22934432700276375,
low_y_side__quarter_1__config_01,low_y_side,quarter_1,1,one_factor_sweep,10,1000,200,16.512098751815998,ok,0.8088337238596381,0.6490374370759466,0.21884461119771004,
low_y_side__quarter_2__config_01,low_y_side,quarter_2,1,one_factor_sweep,10,1000,200,15.1229725077805,ok,0.914583601375287,0.4328166502727029,0.2564644291996956,
low_y_side__quarter_3__config_01,low_y_side,quarter_3,1,one_factor_sweep,10,1000,200,15.46503082872108,ok,0.8085131787435517,0.6510431679025291,0.29517650231719017,
low_y_side__quarter_4__config_01,low_y_side,quarter_4,1,one_factor_sweep,10,1000,200,15.767586169837465,ok,0.6697340221052399,0.8385032558707028,0.3639667071402073,
low_y_side__full_game__config_02,low_y_side,full_game,2,one_factor_sweep,50,1000,200,15.932423883106368,ok,0.757843379877857,0.7328409514580904,0.24284690618515015,
low_y_side__quarter_1__config_02,low_y_side,quarter_1,2,one_factor_sweep,50,1000,200,18.707713683935577,ok,0.7847990027373165,0.683278214256463,0.23288949206471443,
low_y_side__quarter_2__config_02,low_y_side,quarter_2,2,one_factor_sweep,50,1000,200,16.904510554809356,ok,0.87737578719253,0.5326619078724693,0.24665342271327972,
low_y_side__quarter_3__config_02,low_y_side,quarter_3,2,one_factor_sweep,50,1000,200,15.683144499323664,ok,0.831495945301439,0.619366078943803,0.2545500732958317,
low_y_side__quarter_4__config_02,low_y_side,quarter_4,2,one_factor_sweep,50,1000,200,17.355986228013613,ok,0.6618635026412798,0.8532468872296999,0.32169926166534424,
low_y_side__full_game__config_03,low_y_side,full_game,3,one_factor_sweep,500,1000,200,16.788982734359124,ok,0.8534110759161762,0.5791130590286764,0.23432215303182602,
low_y_side__quarter_1__config_03,low_y_side,quarter_1,3,one_factor_sweep,500,1000,200,16.88249926927325,ok,0.7669993353006834,0.7128529354592298,0.2669477052986622,
low_y_side__quarter_2__config_03,low_y_side,quarter_2,3,one_factor_sweep,500,1000,200,16.87840765656116,ok,0.8656827551652981,0.5737799850285547,0.25462498515844345,
low_y_side__quarter_3__config_03,low_y_side,quarter_3,3,one_factor_sweep,500,1000,200,17.468674013478633,ok,0.8566288562158015,0.5683273939192482,0.25285813957452774,
low_y_side__quarter_4__config_03,low_y_side,quarter_4,3,one_factor_sweep,500,1000,200,17.387320227730655,ok,0.6664488219168184,0.8725579823320557,0.3047173470258713,
low_y_side__full_game__config_04,low_y_side,full_game,4,one_factor_sweep,100,100,200,5.75694820404023,ok,0.858647541836952,0.5618480187502407,0.07809445634484291,
low_y_side__quarter_1__config_04,low_y_side,quarter_1,4,one_factor_sweep,100,100,200,5.011809375321792,ok,0.81240384692302,0.64087088931455,0.09304699301719666,
low_y_side__quarter_2__config_04,low_y_side,quarter_2,4,one_factor_sweep,100,100,200,5.2576603667073005,ok,0.8439302282219229,0.6022342147548293,0.1718192920088768,
low_y_side__quarter_3__config_04,low_y_side,quarter_3,4,one_factor_sweep,100,100,200,5.210243352485319,ok,0.8317637829440214,0.5926429469614781,0.13151456229388714,
low_y_side__quarter_4__config_04,low_y_side,quarter_4,4,one_factor_sweep,100,100,200,5.6835347984177975,ok,0.6513721875179129,0.8563024726905687,0.06874569063074887,
low_y_side__full_game__config_05,low_y_side,full_game,5,one_factor_sweep,100,10000,200,49.36152748623177,ok,0.8603031971004118,0.547184599311877,0.36615291982889175,
low_y_side__quarter_1__config_05,low_y_side,quarter_1,5,one_factor_sweep,100,10000,200,56.99114767996954,ok,0.6413175723076109,0.8604677491253805,0.41754859685897827,
low_y_side__quarter_2__config_05,low_y_side,quarter_2,5,one_factor_sweep,100,10000,200,51.14121350291289,ok,0.8690197301267812,0.5195900308567623,0.42869429290294647,
low_y_side__quarter_3__config_05,low_y_side,quarter_3,5,one_factor_sweep,100,10000,200,54.36665088747299,ok,0.8342053137291556,0.5758958030810277,0.38985437899827957,
low_y_side__quarter_4__config_05,low_y_side,quarter_4,5,one_factor_sweep,100,10000,200,53.86212255826117,ok,0.6670024846986344,0.8388902484718599,0.4704406037926674,
low_y_side__full_game__config_06,low_y_side,full_game,6,one_factor_sweep,100,1000,50,13.490611959086356,ok,0.780886993839771,0.7100192312042302,0.29945705458521843,
low_y_side__quarter_1__config_06,low_y_side,quarter_1,6,one_factor_sweep,100,1000,50,12.895755319760273,ok,0.7416130722009047,0.7454800096406388,0.3162813298404217,
low_y_side__quarter_2__config_06,low_y_side,quarter_2,6,one_factor_sweep,100,1000,50,12.12855707568754,ok,0.8278135543279553,0.648903682497267,0.33477655053138733,
low_y_side__quarter_3__config_06,low_y_side,quarter_3,6,one_factor_sweep,100,1000,50,14.06583680762573,ok,0.7945758730021383,0.6706821773426039,0.3237462267279625,
